* Data obtained from finance.yahoo.com on August 31, 2021
Date,Open,High,Low,Close,Adj Close,Volume
2020-08-31,55.799999,56.340000,55.610001,56.000000,54.501411,3262600
2020-09-01,55.849998,55.900002,55.119999,55.380001,53.898006,3943100
2020-09-02,55.470001,55.990002,55.270000,55.900002,54.404091,3614200
2020-09-03,55.349998,55.500000,53.610001,54.160000,52.710655,5122000
2020-09-04,53.790001,54.139999,52.570000,53.580002,52.146175,4610000
2020-09-08,54.139999,54.939999,53.759998,54.709999,53.245934,6735600
2020-09-09,53.830002,54.820000,53.340000,53.639999,52.204567,11416300
2020-09-10,54.160000,54.189999,53.040001,53.070000,51.649822,4407100
2020-09-11,53.990002,54.150002,53.410000,53.730000,52.292160,4627700
2020-09-14,54.230000,54.340000,53.369999,54.020000,52.574402,4960000
2020-09-15,55.529999,55.779999,55.119999,55.279999,53.800678,4300900
2020-09-16,55.720001,55.980000,55.110001,55.130001,53.654697,3948500
2020-09-17,55.740002,56.150002,55.490002,55.939999,54.443020,3991900
2020-09-18,56.759998,56.799999,55.959999,56.450001,54.939373,2931700
2020-09-21,55.090000,55.910000,54.619999,55.910000,54.413822,6792700
2020-09-22,55.290001,55.619999,54.720001,55.439999,53.956398,3878600
2020-09-23,56.220001,56.590000,55.580002,55.660000,54.170509,2922900
2020-09-24,54.939999,55.160000,53.919998,54.169998,52.720383,4123700
2020-09-25,54.200001,55.840000,54.020000,55.509998,54.024525,4954900
2020-09-28,55.070000,55.340000,54.599998,54.750000,53.284866,2741400
2020-09-29,54.709999,55.200001,54.709999,55.110001,53.635231,4177500
2020-09-30,55.020000,55.450001,54.610001,54.799999,53.333523,3001400
2020-10-01,55.200001,55.310001,54.220001,54.299999,52.846909,4728200
2020-10-02,54.419998,54.759998,54.130001,54.220001,52.769047,5699100
2020-10-05,54.459999,54.849998,54.180000,54.490002,53.031822,6704300
2020-10-06,54.150002,54.529999,53.680000,53.709999,52.272697,3695000
2020-10-07,53.810001,53.930000,53.330002,53.529999,52.097511,3518700
2020-10-08,53.680000,54.290001,53.580002,54.090000,52.642529,2351300
2020-10-09,54.389999,54.849998,54.320000,54.720001,53.255669,2092000
2020-10-12,55.189999,55.450001,54.970001,55.270000,53.790951,2783500
2020-10-13,54.770000,55.150002,54.450001,54.480000,53.022091,2949800
2020-10-14,54.000000,54.060001,52.939999,53.189999,51.766609,4656600
2020-10-15,52.450001,52.770000,52.240002,52.549999,51.143738,3038700
2020-10-16,53.000000,53.500000,52.830002,53.029999,51.610893,2665500
2020-10-19,53.230000,53.330002,52.299999,52.439999,51.036678,3143700
2020-10-20,52.680000,52.820000,52.150002,52.189999,50.793369,4919100
2020-10-21,52.139999,52.480000,50.470001,51.570000,50.189960,8219800
2020-10-22,52.009998,52.230000,51.630001,51.959999,50.569523,3751000
2020-10-23,52.169998,52.689999,51.779999,52.000000,50.608456,5576900
2020-10-26,52.869999,53.360001,52.540001,53.070000,51.649822,6022000
2020-10-27,53.310001,53.490002,52.380001,52.480000,51.075611,3702300
2020-10-28,51.889999,51.950001,50.910000,50.980000,49.615753,5263200
2020-10-29,51.040001,51.450001,50.410000,51.070000,49.703342,3534000
2020-10-30,50.919998,51.200001,49.790001,50.160000,48.817696,4761600
2020-11-02,50.470001,50.720001,50.150002,50.619999,49.265385,5368800
2020-11-03,51.459999,52.070000,51.290001,51.700001,50.316486,4156800
2020-11-04,53.950001,55.369999,53.910000,55.040001,53.567104,7385800
2020-11-05,56.060001,56.380001,55.110001,55.160000,53.683891,6660900
2020-11-06,55.689999,55.959999,55.439999,55.520000,54.034260,3686300
2020-11-09,54.770000,55.119999,53.889999,54.049999,52.603596,4381300
2020-11-10,56.639999,56.849998,55.980000,56.570000,55.056160,5835800
2020-11-11,57.540001,58.080002,57.320000,58.020000,56.467358,4069700
2020-11-12,56.810001,57.369999,56.480000,56.840000,55.318935,2902900
2020-11-13,56.869999,57.419998,56.759998,57.380001,55.844486,2900500
2020-11-16,56.490002,56.770000,56.070000,56.290001,54.783653,5190500
2020-11-17,55.110001,55.419998,54.750000,54.959999,53.489243,6451500
2020-11-18,55.330002,55.340000,53.959999,53.990002,52.545204,4732300
2020-11-19,54.250000,54.250000,53.669998,54.029999,52.584133,6768200
2020-11-20,54.880001,55.419998,54.680000,55.299999,53.820145,4306000
2020-11-23,54.520000,54.709999,53.330002,54.700001,53.236202,13670600
2020-11-24,54.000000,54.299999,53.520000,53.570000,52.136440,8341400
2020-11-25,52.340000,53.090000,52.299999,52.599998,51.192398,11660900
2020-11-27,51.580002,52.770000,51.439999,52.610001,51.202129,14783200
2020-11-30,53.299999,53.419998,52.529999,52.939999,51.523300,14725200
2020-12-01,53.060001,53.360001,52.599998,52.980000,51.562229,13301100
2020-12-02,52.889999,53.599998,52.830002,53.389999,51.961258,4953700
2020-12-03,52.869999,52.959999,52.250000,52.779999,51.367580,7917100
2020-12-04,53.549999,54.139999,53.419998,53.740002,52.301891,4685400
2020-12-07,54.380001,54.490002,53.830002,54.259998,52.807976,6582900
2020-12-08,53.669998,55.060001,53.619999,54.720001,53.255669,6707600
2020-12-09,54.959999,55.020000,53.810001,54.040001,52.593864,7952400
2020-12-10,53.860001,54.200001,53.669998,53.889999,52.447880,7566800
2020-12-11,53.630001,54.349998,53.630001,54.270000,52.817711,3870000
2020-12-14,50.669998,51.570000,49.889999,50.029999,48.691174,54898600
2020-12-15,50.610001,50.830002,50.090000,50.830002,49.469765,22247400
2020-12-16,51.799999,51.810001,50.820000,50.930000,49.567089,19333500
2020-12-17,51.259998,51.369999,50.549999,50.790001,49.430836,13957200
2020-12-18,50.919998,50.950001,49.990002,50.209999,48.866356,25875200
2020-12-21,49.480000,49.840000,49.060001,49.680000,48.350540,13007200
2020-12-22,49.270000,49.279999,48.500000,48.730000,47.425961,14221900
2020-12-23,49.110001,49.119999,48.630001,48.770000,47.464893,11311000
2020-12-24,48.900002,48.900002,48.169998,48.520000,47.221584,4931700
2020-12-28,50.230000,50.279999,49.139999,49.380001,48.058571,15481900
2020-12-29,50.660000,50.700001,49.790001,49.900002,48.564651,17308500
2020-12-30,50.459999,50.549999,50.040001,50.180000,48.837158,14349100
2020-12-31,50.000000,50.090000,49.119999,49.990002,48.652245,10610000
2021-01-04,50.919998,51.049999,49.889999,50.520000,49.168060,15665800
2021-01-05,50.400002,50.830002,50.020000,50.700001,49.343246,13361900
2021-01-06,50.840000,51.439999,50.660000,50.910000,49.547626,12754900
2021-01-07,50.549999,50.779999,50.060001,50.189999,48.846893,13562600
2021-01-08,50.590000,50.880001,50.320000,50.860001,49.498962,10996000
2021-01-11,50.580002,51.090000,50.410000,50.560001,49.206993,11680300
